user_id,start_date,age_group,instrument,country,skill_level,churn,day_1_retention,day_7_retention,day_30_retention,premium_conversion,lessons_completed
AUG00001,2024-08-01,18-34,Guitar,Canada,Beginner,0,0,0,0,0,7
AUG00002,2024-08-01,35-54,Guitar,United States,Beginner,0,1,1,0,1,2
AUG00003,2024-08-01,35-54,Guitar,Australia,Beginner,0,0,0,0,0,6
AUG00004,2024-08-01,18-34,Guitar,Seychelles,Beginner,0,1,0,1,0,53
AUG00005,2024-08-01,35-54,Guitar,Sweden,Intermediate,0,1,0,0,0,3
AUG00006,2024-08-01,18-34,Piano,Ireland,Beginner,0,0,0,0,0,0
AUG00007,2024-08-01,35-54,Guitar,Germany,Beginner,0,0,0,0,0,7
AUG00008,2024-08-01,35-54,Guitar,Australia,Beginner,0,1,0,0,0,0
AUG00009,2024-08-01,35-54,Guitar,United Kingdom,Beginner,1,0,0,0,0,8
AUG00010,2024-08-01,35-54,Piano,Sweden,Beginner,0,0,0,0,0,3
AUG00011,2024-08-01,18-34,Guitar,Netherlands,Beginner,0,0,0,0,0,3
AUG00012,2024-08-01,35-54,Guitar,Finland,Intermediate,0,0,0,0,0,3
AUG00013,2024-08-01,18-34,Guitar,United States,Beginner,0,0,0,0,0,0
AUG00014,2024-08-01,18-34,Piano,Germany,Beginner,0,0,0,0,0,7
AUG00015,2024-08-01,35-54,Ukulele,Germany,Beginner,0,1,0,0,0,7
AUG00016,2024-08-01,18-34,Bass,Italy,Beginner,0,0,0,0,0,6
AUG00017,2024-08-01,35-54,Piano,United States,Beginner,0,0,0,0,0,3
AUG00018,2024-08-01,Under 18,Guitar,Sweden,Beginner,1,0,0,0,0,6
AUG00019,2024-08-01,35-54,Guitar,Norway,Intermediate,0,0,0,0,0,9
AUG00020,2024-08-01,55+,Guitar,United States,Beginner,0,0,0,0,0,4
AUG00021,2024-08-01,35-54,Piano,Italy,Beginner,0,0,0,0,0,4
AUG00022,2024-08-01,55+,Guitar,France,Intermediate,0,0,0,0,0,5
AUG00023,2024-08-01,18-34,Guitar,Maldives,Intermediate,1,0,0,1,0,7
AUG00024,2024-08-01,18-34,Guitar,Italy,Beginner,0,0,0,0,0,5
AUG00025,2024-08-01,35-54,Bass,United States,Beginner,1,0,0,0,0,5
AUG00026,2024-08-01,35-54,Ukulele,Spain,Beginner,0,0,0,0,0,4
AUG00027,2024-08-01,35-54,Guitar,Sweden,Beginner,0,1,1,0,0,8
AUG00028,2024-08-01,35-54,Guitar,United States,Beginner,0,1,1,1,0,45
AUG00029,2024-08-01,18-34,Guitar,New Zealand,Beginner,0,0,0,0,0,6
AUG00030,2024-08-01,35-54,Guitar,Finland,Intermediate,0,0,0,0,0,9
AUG00031,2024-08-01,18-34,Guitar,New Zealand,Beginner,0,1,0,0,0,5
AUG00032,2024-08-01,18-34,Guitar,Spain,Beginner,0,0,0,0,0,3
AUG00033,2024-08-01,18-34,Guitar,United States,Beginner,0,0,0,0,0,2
AUG00034,2024-08-01,35-54,Guitar,Canada,Beginner,0,1,0,0,0,6
AUG00035,2024-08-01,18-34,Piano,United States,Beginner,0,0,0,0,0,5
AUG00036,2024-08-01,18-34,Voice,United States,Intermediate,0,1,0,0,0,2
AUG00037,2024-08-01,18-34,Guitar,Norway,Beginner,0,0,0,0,0,5
AUG00038,2024-08-01,18-34,Guitar,Mexico,Beginner,0,0,0,0,0,6
AUG00039,2024-08-01,35-54,Guitar,United States,Intermediate,1,0,0,0,0,8
AUG00040,2024-08-01,35-54,Guitar,Australia,Advanced,0,0,0,0,0,12
AUG00041,2024-08-01,35-54,Guitar,United Kingdom,Intermediate,1,0,0,0,0,7
AUG00042,2024-08-01,18-34,Guitar,Norway,Beginner,0,0,0,0,0,3
AUG00043,2024-08-01,18-34,Guitar,Norway,Beginner,1,1,0,0,0,3
AUG00044,2024-08-01,18-34,Guitar,Germany,Intermediate,0,0,0,0,0,7
AUG00045,2024-08-01,18-34,Ukulele,United Kingdom,Beginner,0,0,0,0,0,5
